name,x_pc,y_pc,z_pc,mag,spect
Sol,0.000005,0.000000,0.000000,-26.700,G2V
Sirius,-0.494323,2.476731,-0.758485,-1.440,A0m...
Rigil Kentaurus,-0.495203,-0.414084,-1.156625,-0.010,G2V
Arcturus,-8.823448,-5.932531,3.698938,-0.050,K2IIIp
Vega,0.960565,-5.908009,4.809731,0.030,A0Vvar
Capella,1.712633,8.954439,9.440007,0.080,M1: comp
Procyon,-1.469312,3.176170,0.320024,0.400,F5IV-V
Achernar,21.065573,9.568417,-35.951967,0.450,B3Vp
Altair,2.355468,-4.487300,0.790749,0.760,A7IV-V
Aldebaran,7.027220,18.287604,5.806661,0.870,K5III
Fomalhaut,6.450517,-1.799476,-3.807757,1.170,A3V
Pollux,-4.055465,8.195180,4.867171,1.160,K0IIIvar
Toliman,-0.495181,-0.413973,-1.156674,1.350,K1V
Regulus,-21.018857,11.132218,5.041397,1.360,B7V
Spica,-69.990853,-27.285826,-14.821760,0.980,B1V
Castor,-5.311938,12.130011,8.238737,1.580,A2Vm
Gacrux,-14.606901,-1.998688,-22.800748,1.590,M4III
Miaplacidus,-8.980712,8.001552,-32.546536,1.670,A2IV
Alioth,-13.775959,-3.309169,20.972944,1.760,A0p
Alnair,18.672505,-9.904001,-22.635193,1.730,B7IV
Elnath,5.281578,35.650400,19.655456,1.650,B7III
Menkalinan,0.036195,17.601288,17.569058,1.900,A2V
Alkaid,-18.529548,-9.394541,24.164506,1.850,B3V SB
Dubhe,-17.298705,4.334880,33.191332,1.810,F7V comp
Alsephina,-9.394033,10.739813,-20.158771,1.930,A1V
Kaus Australis,3.817188,-36.057831,-24.812975,1.790,B9.5III
Hamal,15.731986,9.751722,8.033610,2.010,K2III
Alhena,-5.266162,31.714389,9.461403,1.930,A0IV
Rasalhague,-1.587067,-14.453242,3.239454,2.080,A5III
Menkent,-12.358808,-7.624204,-10.694288,2.060,K0IIIb
Denebola,-10.633926,0.508011,2.767546,2.140,A3Vvar
Bellatrix,11.658576,76.036136,8.560120,1.640,B2III
Diphda,27.583638,5.310463,-9.119792,2.040,K0III
Alpheratz,25.974572,0.951042,14.461264,2.070,B9p
Algol,14.189428,15.238793,18.072114,2.090,B8V
Algieba,-34.002797,15.860719,13.538740,2.010,K0III
Peacock,17.850262,-24.200974,-45.841245,1.940,B2IV
Kochab,-8.058164,-7.429707,38.619407,2.070,K4IIIvar
Alphecca,-12.176093,-16.558746,10.343974,2.220,A0V
Caph,8.600014,0.344589,14.409503,2.280,F2III-IV
Alphard,-43.003468,33.722848,-8.322089,1.990,K3III
Mizar,-14.115808,-5.413302,21.531272,2.230,A2V
Larawag,-4.842163,-15.395680,-11.006616,2.290,K2IIIb
Gl 194B,1.689045,8.828648,9.308413,0.960,G0 III
Tiaki,34.993484,-12.277259,-39.608199,2.070,M5III
Merak,-13.103033,3.398358,20.360601,2.340,A1V
Mirach,46.946371,14.741814,35.255129,2.070,M0IIIvar
Alderamin,5.276111,-4.483201,13.348778,2.450,A7IV-V
Ankaa,19.083654,2.198282,-17.483284,2.400,K0III...
Nunki,14.950858,-60.794062,-30.937099,2.050,B2.5V
Phecda,-15.094867,0.406425,20.552678,2.410,A0V SB
Eltanin,-0.436154,-29.451035,37.014357,2.240,K5III
Sabik,-5.602493,-25.470005,-7.342684,2.430,A2.5Va
Aljanah,12.262597,-13.834612,12.455654,2.480,K0III
Zosma,-16.442201,3.337108,6.280742,2.560,A4V
Muphrid,-9.487671,-5.188142,3.596709,2.680,G0IV
Sheratan,14.752622,8.063457,6.389157,2.640,A5V...
Schedar,37.984817,6.784483,58.379619,2.240,K0II-IIIvar
Unukalhai,-12.578600,-18.695648,2.537718,2.630,K2III
Ascella,6.326274,-22.577554,-13.471863,2.600,A3IV
Markab,38.311434,-9.417123,10.722722,2.490,B9.5III
Porrima,-11.488622,-2.111702,-0.295552,2.740,F0V+...
Izar,-41.582771,-36.462926,28.269741,2.350,A0
Ruchbah,14.082378,5.534130,26.457567,2.660,A5Vv SB
Scheat,51.433435,-12.877612,28.290136,2.440,M2II-IIIvar
Zubenelgenubi,-16.408581,-15.151818,-6.421874,2.750,A3IV
Deneb Algedi,9.534405,-6.248606,-3.296196,2.850,A5mF2 (IV)
Athebyne,-5.477258,-12.300885,24.814526,2.730,G8III
Gienah,-44.805937,-3.095058,-14.197066,2.580,B8III
Cebalrai,-1.802333,-24.949291,1.998237,2.760,K2III
Tureis,-9.379037,15.076242,-8.018549,2.830,F2mF5IIp
Cursa,6.156194,26.585876,-2.429001,2.780,A3IIIvar
Kraz,-40.529889,-6.127261,-17.735390,2.650,G5II
Kaus Borealis,2.635486,-21.487046,-10.289309,2.820,K1IIIb
Mahasim,0.049188,40.426416,30.699340,2.650,A0p Si
Zubeneschamali,-36.549398,-42.420251,-9.252607,2.610,B8V
Vindemiatrix,-31.782664,-8.840495,6.388060,2.850,G8IIIvar
Kornephoros,-15.155861,-36.689058,15.628430,2.780,G8III
Yed Prior,-23.290749,-46.890988,-3.380547,2.730,M1III
Menkar,53.342561,54.414384,5.448321,2.540,M2III
Algorab,-25.316094,-3.317674,-7.570570,2.940,B9.5V
Cor Caroli,-26.795114,-6.684223,21.824384,2.890,A0spe...
Okab,6.958810,-23.716532,6.099966,2.990,A0Vn
Nihal,6.349344,45.531613,-17.425966,2.810,G5II
Alnasl,0.648969,-25.602281,-15.040072,2.980,K0III
Talitha,-6.835882,6.883318,10.789878,3.120,A7IV
Seginus,-16.449442,-12.860715,16.495060,3.040,A7IIIvar
Tabit,2.413721,7.636770,0.977904,3.190,F6V
Fawaris,15.779435,-32.006459,35.848100,2.860,B9.5III
Acamar,26.857490,26.453029,-31.974932,2.880,A4III+...
Gomeisa,-18.209817,45.556204,7.147858,2.890,B8Vvar
Sarin,-4.075476,-20.503689,9.676738,3.120,A3IVv SB
Altais,3.534238,-10.788301,27.627312,3.070,G9III
Errai,3.008186,-0.271815,13.774751,3.210,K1IV
Wazn,0.855327,21.672805,-15.624858,3.120,K1.5III
Tejat,-6.562116,65.281443,27.194957,2.870,M3IIIvar
Matar,53.599160,-18.717064,33.070991,2.930,G2II-III..
Zaurak,30.760217,52.235828,-14.563080,2.970,M1IIIb Ca-1
Yed Posterior,-13.962311,-29.378579,-2.669978,3.230,G8III
Alzirr,-3.444569,17.203451,4.016900,3.350,F5IV
Fuyue,-1.362278,-30.763993,-23.241560,3.190,K0/K1III
Achird,3.098462,0.674227,5.038376,3.460,G0V SB
Megrez,-13.402309,-0.903455,20.710384,3.320,A3Vvar
Aldhanab,43.853581,-26.892269,-39.280780,3.000,B8III
Edasich,-10.015969,-12.471787,26.585776,3.290,K2III
Heze,-20.799365,-9.118725,-0.236175,3.380,A3V
Ras Elased Australis,-57.700126,38.244772,30.494289,2.970,G0II
Mothallah,14.872602,7.998180,9.584806,3.420,F6IV
Rana,5.006502,7.370189,-1.533131,3.520,K0IV
Tania Australis,-48.161684,21.865099,46.794651,3.060,M0III SB
Wasat,-5.888392,16.151258,6.939513,3.500,F0IV...
Skat,45.459019,-13.325406,-13.423467,3.270,A3V
Kaffaljidhma,18.440324,15.931398,1.377729,3.470,A3V
Zavijava,-10.914853,0.443379,0.336562,3.590,F8V
Ashlesha,-26.198413,29.410867,4.431082,3.380,G0III-IV
Chertan,-47.814213,9.675761,13.464276,3.330,A2V
Ran,1.898970,2.541426,-0.528523,3.720,K2V
Biham,24.963846,-12.967714,3.054948,3.520,A2V
Chamukuy,17.209733,40.871602,12.608233,3.400,A7III
Sadalbari,28.209183,-8.893887,13.542862,3.510,M2III
